herkomst,doel,e-nummer,naam,opmerkingen,kleur,soort
Natuurlijk,Verdikkingsmiddel,E406,Agar-Agar,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E407,Carrageen,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E408,Furcelleran,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E410,Johannesbroodpitmeel,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E412,Gurapitmeel,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E413,Tragacanth,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E414,Arabische Gom,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E415,Xanthaangom,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E416,Karayagom,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E417,Taragom,,GROEN,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E418,Gellangom,,ORANJE,Emulgatoren
,Natuurlijke suikeralcohol,E420,Sorbitol,,ORANJE,Emulgatoren
,Natuurlijke suikeralcohol,E421,Mannitol,,ROOD,Emulgatoren
,Natuurlijk alcohol,E422,Glycerol,,ORANJE,Emulgatoren
Vetzuren,Synthetische emulgator,E430,Polyoxyethyleen(8)stearaat,,ROOD,Emulgatoren
Vetzuren,Synthetische emulgator,E431,Polyoxyethyleen(40)stearaat,,ROOD,Emulgatoren
Vetzuren,Synthetische emulgator,E432,Tween 20,,ROOD,Emulgatoren
Vetzuren,Synthetische emulgator,E433,Polysorbaat 80,,ROOD,Emulgatoren
Vetzuren,Synthetische emulgator,E434,Tween 40,,ROOD,Emulgatoren
Vetzuren,Synthetische emulgator,E435,Tween 60,,ROOD,Emulgatoren
Vetzuren,Synthetische emulgator,E436,Tween 65,,ROOD,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E440a,Pectine,,GROEN,Emulgatoren
Synthetisch,Bereid uit pectine,E440b,Geamineerde pectine,,GROEN,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E441,Gelatine,,ROOD,Emulgatoren
Synthetisch,Synthetische emulgatoren,E442,Ammoniumfosfatiden,,ORANJE,Emulgatoren
Synthetisch,Stabilisator,E445,Clycerolester,,GROEN,Emulgatoren
Synthetisch,Zout,E450a,Dinatriumdiwaterstofdifosfaat,,ROOD,Emulgatoren
Synthetisch,Zout,E450a,Trinatriumdifosfaat,,ROOD,Emulgatoren
Synthetisch,Zout,E450a,Tetranatriumdifosfaat,,ROOD,Emulgatoren
Synthetisch,Zout,E450a,Tetrakaliumdifosfaat,,ROOD,Emulgatoren
Synthetisch,Zout,E450b,Pentanatriumtrifosfaat,,ROOD,Emulgatoren
Synthetisch,Zout,E450b,Pentakaliumtrifosfaat,,ROOD,Emulgatoren
Synthetisch,Zout,E450c,Natriumpolyfosfaat,,ROOD,Emulgatoren
Synthetisch,Zout,E450c,Kaliumpolyfosfaat,,ROOD,Emulgatoren
,Synthetische stabilisatoren,"E452, E452I-E452iv",Polyfosfaten,,ROOD,Emulgatoren
,"Natuurlijk polymeer, houtstof",E460,Microkristallijn Cellulose,,ROOD,Emulgatoren
,"Natuurlijk polymeer, houtstof",E460,Cellulose,,ROOD,Emulgatoren
,Bereid uit cellulose (E460),E461,Methylcellulose,,ROOD,Emulgatoren
,Bereid uit cellulose (E460),E463,Hydroxypropylcellulose,,ROOD,Emulgatoren
,Bereid uit cellulose (E460),E464,Hydroxypropylmethylcellulose,,ROOD,Emulgatoren
,Bereid uit cellulose (E460),E465,Methylethylcellulose,,ROOD,Emulgatoren
,Bereid uit cellulose (E460),E466,Natriumcarboxymethylcellulose,,ROOD,Emulgatoren
Vetzuren,Zouten van vetten,E470,Vetzuurzouten,,GROEN,Emulgatoren
Vetzuren,Soort vet,E471,Mono- en diglyceriden van vetzuren,,ROOD,Emulgatoren
Vetzuren,Synthetische emulgatoren,E472a,"Mono- en diglyceriden van vetzuren, veresterd met azijnzuur",,ROOD,Emulgatoren
Vetzuren,Synthetische emulgatoren,E472b,"Mono- en diglyceriden van vetzuren, veresterd met melkzuur",,ROOD,Emulgatoren
Vetzuren,Synthetische emulgatoren,E472c,"Mono- en diglyceriden van vetzuren, veresterd met citroenzuur",,ROOD,Emulgatoren
Vetzuren,Synthetische emulgatoren,E472d,"Mono- en diglyceriden van vetzuren, veresterd met wijnsteenzuur",,ROOD,Emulgatoren
Vetzuren,Synthetische emulgatoren,E472e,"Mono- en diglyceriden van vetzuren, veresterd met azijnzuurderivaten",,ROOD,Emulgatoren
Vetzuren,Synthetische emulgatoren,E472f,"Mono- en diglyceriden van vetzuren, veresterd met azijn- en wijnsteenzuur",,ROOD,Emulgatoren
Vetzuren,Synthetische emulgatoren,E473,Suiker-esters,,ROOD,Emulgatoren
Combinatie van suiker met vetzuren.,Synthetische emulgatoren,E474,Suikerglyceriden,,ROOD,Emulgatoren
Mengsel van melkzuur en stearinezuur,Synthetische emulgatoren,E481/482,Natrium/Calcium-stearoyllactylaat,,GROEN,Emulgatoren
Mengsel van wijnsteenzuur en stearinezuur,Synthetische emulgatoren,E483,Stearyltartraat,,GROEN,Emulgatoren
Mengsel van citroenzuur en stearinezuur,Synthetische emulgatoren,E484,Stearylcitraat,,ROOD,Emulgatoren
Vetzuren,Synthetische emulgatoren,E491-495,Verbindingen van sorbitol (een plantaardige stof) met diverse vetzuren,,ROOD,Emulgatoren
,base,E500,Natriumcarbonaat,,GROEN,Diverse additieven
,base,E500a,Natriumwaterstofcarbonaat,,GROEN,Diverse additieven
,base,E501,Kaliumcarbonaat,,GROEN,Diverse additieven
,base,E503,Ammoniumcarbonaat,,GROEN,Diverse additieven
,"base, anti-klontermiddel",E504,Magnesiumcarbonaat,,GROEN,Diverse additieven
,bron van ijzer,E505,IJzercarbonaat,,GROEN,Diverse additieven
,Natuurlijk zuur,E507,Zoutzuur,,ROOD,Diverse additieven
,zout,E508,Kaliumchloride,,ROOD,Diverse additieven
,metaalionen binder,E509,Calciumchloride,,ROOD,Diverse additieven
,"smaakstof, deegverbeteraar",E510,Ammoniumchloride,,ROOD,Diverse additieven
,verstevigingsmiddel,E511,Magnesiumchloride,,ORANJE,Diverse additieven
,Zuur,E513,Zwavelzuur,,ROOD,Diverse additieven
,zuur,E514,Natriumsulfaat,,ROOD,Diverse additieven
,zoutvervanger,E515,Kaliumsulfaat,,ROOD,Diverse additieven
,verstevigingsmiddel,E516,Calciumsulfaat,,ORANJE,Diverse additieven
,magnesium bron,E518,Magnesiumsulfaat,,ROOD,Diverse additieven
,verstevigingsmiddel,E520,Aluminiumsulfaat,,ROOD,Diverse additieven
,verstevigingsmiddel,E521,Aluminiumnatriumsulfaat,,ROOD,Diverse additieven
,rijsmiddel,E523,Aluminiumammoniumsulfaat,,ROOD,Diverse additieven
,base,E524,Natriumhydroxide,,ORANJE,Diverse additieven
,base,E525,Kaliumhydroxide,,ROOD,Diverse additieven
,base,E526,Calciumhydroxide,,ORANJE,Diverse additieven
,base,E527,Ammonia,,ORANJE,Diverse additieven
,base,E528,Magnesiumhydroxide,,ORANJE,Diverse additieven
,base,E529,Calciumoxide,,ORANJE,Diverse additieven
,"base, anti-klontermiddel",E530,Magnesiumoxide,,ORANJE,Diverse additieven
,anti-klontermiddel,E535,Natriumferrocyanide,,ORANJE,Diverse additieven
,anti-klontermiddel,E536,Kaliumferrocyanide,,ORANJE,Diverse additieven
,anti-klontermiddel,E537,Ferrohexacyanomanganaat,,ORANJE,Diverse additieven
,rijsmiddel,E540,Dicalciumdifosfaat,,ORANJE,Diverse additieven
,rijsmiddel,E541,Zuur natriumaluminiumfosfaat,,ROOD,Diverse additieven
,smeltzout,E541,Basisch natriumaluminiumfosfaat,,ROOD,Diverse additieven
,anti-klontermiddel,E542,Beendermeel,,ROOD,Diverse additieven
,Stabilisator,E543,Natriumcalciumpolyfosfaat,,ROOD,Diverse additieven
,Emulgator,E544,Calciumpolyfosfaat,,ROOD,Diverse additieven
,Emulgator,E545,Ammoniumpolyfosfaten,,ROOD,Diverse additieven
,emulgator,E546,Dimagnesiumdifosfaat,,ROOD,Diverse additieven
,anti-klontermiddel,E550,Natriumsilicaat,,ROOD,Diverse additieven
,anti-klontermiddel,E551,Siliciumdioxide,,GROEN,Diverse additieven
,anti-klontermiddel,E552,Calciumsilicaat,,ROOD,Diverse additieven
,anti-klontermiddel,E553a,Magnesiumsilicaat,,ROOD,Diverse additieven
,anti-klontermiddel,E553b,Talk,,ROOD,Diverse additieven
,anti-klontermiddel,E554,Natriumaluminiumsilicaat,,ROOD,Diverse additieven
,anti-klontermiddel,E555,Kaliumaluminiumsilicaat,,ROOD,Diverse additieven
,anti-klontermiddel,E556,Aluminiumcalciumsilicaat,,ROOD,Diverse additieven
,anti-klontermiddel,E557,Zinksilicaat,,ROOD,Diverse additieven
,anti-klontermiddel,E558,Bentoniet,,GROEN,Diverse additieven
,anti-klontermiddel,E559,Kaolien,,ORANJE,Diverse additieven
,anti-klontermiddel,E570,Stearinezuur,,GROEN,Diverse additieven
,anti-klontermiddel,E571,Ammoniumstearaat,,ROOD,Diverse additieven
,anti-klontermiddel,E572,Magnesiumstearaat,,ORANJE,Diverse additieven
,anti-klontermiddel,E573,Aluminiumstearaat,,ROOD,Diverse additieven
,metaalionen-binder,E574,Gluconzuur,,GROEN,Diverse additieven
,metaalionen-binder,E575,Glucono-delta-lacton,,GROEN,Diverse additieven
,metaalionen-binder,E576,Natriumgluconaat,,ORANJE,Diverse additieven
,metaalionen-binder,E577,Kaliumgluconaat,,ORANJE,Diverse additieven
,zuurteregelaar,E578,Calciumgluconaat,,GROEN,Diverse additieven
,ijzerbron,E579,IJzer gluconaat,,GROEN,Diverse additieven
,Stabilisator,E585,IJzer lactaat,,GROEN,Diverse additieven
Synthetisch,"Natuurlijk aminozuur, smaakversterker",E620,L-glutaminezuur,Sommige mensen kunnen er overgevoelig voor zijn (zie E621). Mag niet in babyvoeding (jonger dan 3 maanden) worden gebruikt.,ROOD,Smaakversterkers
Synthetisch,"Natuurlijk aminozuur, smaakversterker",E621,Natriumglutamaat,"Kan bij overgevoeligheid persoonlijkheidsveranderingen, woedeaanvallen, schizofrenie, apathie en gedragsstoornissen zoals hyperactiviteit veroorzaken. Mag niet in babyvoeding (jonger dan 3 maanden) worden gebruikt.",ROOD,Smaakversterkers
Synthetisch,Natuurlijk aminozuur smaakversterker,E622,Kaliumglutamaat,Vergelijkbaar met E621,ROOD,Smaakversterkers
Synthetisch,Natuurlijk aminozuur smaakversterker,E623,Calciumglutamaat,Vergelijkbaar met E621,ROOD,Smaakversterkers
Synthetisch,Natuurlijk aminozuur smaakversterker,E624,Ammoniumglutamaat,Vergelijkbaar met E621,ROOD,Smaakversterkers
Synthetisch,Natuurlijk aminozuur smaakversterker,E625,Magnesiumglutamaat,"Vergelijkbaar met E621, maar kan soms ook een kalmerende werking hebben",ROOD,Smaakversterkers
Natuurlijk,Smaakversterker,E626,Guanylzuur,Kan bij overgevoeligheid astmatische reacties of oedeemvorming veroorzaken. Verdacht van het veroorzaken van hyperactiviteit bij kinderen. Mag niet in babyvoeding (jonger dan 3 maanden) worden gebruikt.,ORANJE,Smaakversterkers
Natuurlijk,Smaakversterker,E627,Natriumguanylaat,Vergelijkbaar met E626. Vooral gewonnen uit gist,ROOD,Smaakversterkers
Natuurlijk,Smaakversterker,E628,Kaliumguanylaat,Vergelijkbaar met E626. Vooral gewonnen uit gist,ROOD,Smaakversterkers
Natuurlijk,Smaakversterker,E629,Calciumguanylaat,Vergelijkbaar met E626. Vooral gewonnen uit gist,ROOD,Smaakversterkers
Natuurlijk,Smaakversterker,E630,Inosinezuur,Vooral gewonnen uit vlees en sardines.,ROOD,Smaakversterkers
Natuurlijk,Smaakversterker,E631,Natriuminosinaat,Vooral gewonnen uit vlees en sardines.,ROOD,Smaakversterkers
Natuurlijk,Smaakversterker,E632,Kaliuminosinaat,Vooral gewonnen uit vlees en sardines.,ROOD,Smaakversterkers
Natuurlijk,Smaakversterker,E633,Calciuminosinaat,Vooral gewonnen uit vlees en sardines.,ROOD,Smaakversterkers
Natuurlijk,Smaakversterker,E635,Natrium-5'-ribonucleotide,Vooral gewonnen uit vlees en sardines.,ROOD,Smaakversterkers
Natuurlijk,Smaakversterker,E636,Maltol,Normaal gewonnen uit mout,ROOD,Smaakversterkers
Natuurlijk,Smaakversterker,E637,Ethylmaltol,,ROOD,Smaakversterkers
,,E640,Glycine,"Wordt gemaakt uit gelatine, dus uit botten",ROOD,Smaakversterkers
Synthetisch,Smaakversterker,E650,Zinkacetaat,,ORANJE,Smaakversterkers
De schimmel Streptomyces ambofaciens,Conserveermiddel,E710,Spiramycines,Een groep van antibiotica,ROOD,Conserveermiddelen
De schimmel Streptomyces fradiae,Conserveermiddel,E713,Tylosine,Een groep van antibiotica,ROOD,Conserveermiddelen
,anti-schuimmiddel,E900,Dimethylpolysiloxaan,,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Gemaakt door bijen,Natuurlijk glansmiddel,E901,Bijenwas,,GROEN,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Uitscheidingsproduct van luizen.,Natuurlijk glansmiddel,E902,Candelillawas,,GROEN,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
,Natuurlijk glansmiddel,E903,Carnaubawas,,GROEN,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
,Glansmiddelen,E904,Shellac,,ORANJE,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
,Natuurlijk glansmiddel,E905,Minerale koolwaterstoffen,,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
,Natuurlijk glansmiddel,E906,Benzoëgom,,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
,Natuurlijk glansmiddel,E907,Paraffinewas,,ORANJE,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
,Natuurlijk glansmiddel,E908,Rijstkorrelwas,,ORANJE,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
,Natuurlijk glansmiddel,E912,Montaanzuur,Risico voor allergieën.,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Een vetachtig uitscheidingsproduct van schapen.,Natuurlijk glansmiddel,E913,Lanoline,,ORANJE,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Synthetisch,Glansmiddel,E914,Polyethyleenwas,,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
,Natuurlijk aminozuur,E915,Colofoniumesters,,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
"Gewonnen uit eiwitten, vooral uit haren.",Natuurlijk aminozuur,E920,L-cysteïne,,GROEN,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
"Gewonnen uit eiwitten, vooral uit haren.",deegverbeteraar,E921,L-cystine,,GROEN,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
,deegverbeteraar,E922,Kaliumpersulfaat,,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
,deegverbeteraar,E923,Ammoniumiumpersulfaat,,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
,conserveermiddel,E924,Kaliumbromaat,,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
,Bleekmiddel,E925,Chloor,,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
,deegverbeteraar,E927,Azodicarbonamide,,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Natuurlijk,Stabilisator/Drijfgas,E927b,Carbamide,,GROEN,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Natuurlijk,Stabilisator/Drijfgas,E938,Argon,,GROEN,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Natuurlijk,Stabilisator/Drijfgas,E939,Helium,,GROEN,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Natuurlijk,Stabilisator/Drijfgas,E941,Stikstof,,GROEN,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Natuurlijk,Stabilisator/Drijfgas,E942,Stikstofoxidule,,GROEN,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Petrochemisch,Drijfgas,E943a,Butaan,,ORANJE,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Petrochemisch,Drijfgas,E943b,Isobutaan,,ORANJE,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Petrochemisch,Drijfgas,E944,Propaan,,ORANJE,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Natuurlijk,Drijfgas,E948,Zuurstof,,GROEN,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Natuurlijk,Gas,E949,Waterstof,,GROEN,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Synthetisch,Zoetstof,E950,Acesulfam K,,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Synthetisch,Zoetstof,E951,Aspartaam,,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Synthetisch,Zoetstof,E952,Cyclamaat,,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Synthetisch,Zoetstof,E953,Isomalt,Uit sacharose / via GM gemaakt,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Natuurlijk,Zoetstof,E954,Saccharine,,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Synthetisch,Zoetstof,E955,Sucralose,Bekend onder de naam Splenda.,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Eiwit uit tropische plant Thaumatococcus daniellii,Zoetstof,E957,Thaumatine,,ORANJE,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
,,E959,Neohesperidine,,GROEN,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Natuurlijk,Zoetstof,E960,Stevia,"Steviolglycosiden, 300 x zoeter dan suiker",GROEN,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Synthetisch,Zoetstof,E961,Neotaam,Tot 13000 keer zoeter dan suiker,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Synthetisch,Zoetstof,E962,Zout van Aspartaam,,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Synthetisch,,E965,Maltitol,Kan van GM-bron zijn,ORANJE,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Gemaakt uit (koe)melksuiker,,E966,Lactitol,,ORANJE,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Synthetisch,Zoetstof,E967,Xilitol,,ROOD,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Natuurlijk,Zoetstof,E968,Erythritol,,ORANJE,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
Natuurlijk,Schuimverwekker,E999,Quillaja,,ORANJE,"Anti-schuimmiddelen, glansmiddelen, deegverbeteraars, zoetstoffen"
,verdikkingsmiddel,E1400,Dextrine,,ORANJE,Gemodificeerde zetmelen
,verdikkingsmiddel,E1401,Zuurbehandeld zetmeel,,ORANJE,Kleurstoffen
,verdikkingsmiddel,E1402,Loogbehandeld zetmeel,,ORANJE,Kleurstoffen
,verdikkingsmiddel,E1403,Gebleekt zetmeel,,ORANJE,Kleurstoffen
,verdikkingsmiddel,E1404,Geoxideerd zetmeel,Kan GM zijn of natuurlijk,ORANJE,Kleurstoffen
,verdikkingsmiddel,E1410,Monozetmeelfosfaat,,ORANJE,Kleurstoffen
,verdikkingsmiddel,E1411,Dizetmeelfosfaat,,ORANJE,Kleurstoffen
,verdikkingsmiddel,E1412,Dizetmeelfosfaat,,ORANJE,Kleurstoffen
